category_section,question_number_in_cat,question_text,allowed_score_range,is_objective,needs_review,global_question_id,archetype
1. Business Canvas,1,How clearly is the value proposition understood?,"[0, 0.25, 0.5, 0.75,1]",0,False,1,SUBJECTIVE_LIKERT
1. Business Canvas,2,Does the company clearly identify its customer segments and customer attributes?,"[0, 0.25, 0.5, 0.75,1]",0,False,2,SUBJECTIVE_LIKERT
1. Business Canvas,3,Has the company interviewed at least 5 customers?,"[0, 0.25, 0.5, 0.75,1]",1,False,3,CUMULATIVE_LADDER
1. Business Canvas,4,Are the large sections of the BMC clearly filled and articulated?,"[0, 0.25, 0.5, 0.75,1]",0,False,4,SUBJECTIVE_LIKERT
1. Business Canvas,5,Are the small sections of the BMC clearly filled and articulated?,"[0, 0.5, 1]",0,False,5,ORDINAL_MILESTONE
2. Impact/ Sustainability,1,"Company purpose directly addresses two or more United Nations Sustainable Development Goals (SDGs), maximizing environmental, economic, and social value (Two or more: 1, One only: 0.5, None: 0).","[0, 0.5, 1]",1,False,6,ORDINAL_MILESTONE
2. Impact/ Sustainability,2,"Clearly maps applicable SDGs across the company’s value chain (Two or more: 1, One only: 0.5, None: 0).","[0, 0.5, 1]",1,False,7,ORDINAL_MILESTONE
2. Impact/ Sustainability,3,"Addresses whether the impact priority is climate mitigation, climate resilience + adaptation, or both.","[0,1]",0,False,8,BINARY
2. Impact/ Sustainability,4,Clearly explains how the startup is better than conventional companies in its sector using a quantifiable number.,"[0,1]",1,False,9,BINARY
2. Impact/ Sustainability,5,Does the company describe its culture and how it plans to use profits?,"[0,1]",1,False,10,BINARY
2. Impact/ Sustainability,6,Is the company certified by any environmental organizations?,"[0,1]",1,False,11,BINARY
2. Impact/ Sustainability,7,"If applicable, does the company mention the existing regulations (local, state, federal, international) that have a direct impact on the company’s license to operate? (If no applicable regulations exist, give one point for this question)","[0,1]",1,False,12,CONDITIONAL_NA
2. Impact/ Sustainability,8,"Has the company identified the environmental or social risks of the materials in the product/service? (e.g. toxicity, availability, recyclability, etc.) (If not applicable, give one point for this question because it is not a business risk)","[0,1]",1,False,13,CONDITIONAL_NA
