,Question,Range,Scorer 2 - Objective (1) / Subjective (0),Scorer 1 - Objective (1) / Subjective (0),Needs review?,82.98%,Comments 
,1. Business Canvas ,,,,,,
1,How clearly is the value proposition understood?,"[0, 0.25, 0.5, 0.75,1]",,0,FALSE,,
2,Does the company clearly identify its customer segments and customer attributes?,"[0, 0.25, 0.5, 0.75,1]",,0,FALSE,,
3,Has the company interviewed at least 5 customers?,"[0, 0.25, 0.5, 0.75,1]",,1,FALSE,,
4,Are the large sections of the BMC clearly filled and articulated?,"[0, 0.25, 0.5, 0.75,1]",,0,FALSE,,
5,Are the small sections of the BMC clearly filled and articulated?,"[0, 0.5, 1]",,0,FALSE,,
,,,,,,,
,2. Impact/ Sustainability ,,,,,,
1,"Company purpose directly addresses two or more United Nations Sustainable Development Goals (SDGs), maximizing environmental, economic, and social value (Two or more: 1, One only: 0.5, None: 0).","[0, 0.5, 1]",,1,FALSE,,
2,"Clearly maps applicable SDGs across the company’s value chain (Two or more: 1, One only: 0.5, None: 0). ","[0, 0.5, 1]",,1,FALSE,,
3,"Addresses whether the impact priority is climate mitigation, climate resilience + adaptation, or both.","[0,1]",,0,FALSE,,
4,Clearly explains how the startup is better than conventional companies in its sector using a quantifiable number.,"[0,1]",,1,FALSE,,
5,Does the company describe its culture and how it plans to use profits?,"[0,1]",,1,FALSE,,
6,Is the company certified by any environmental organizations?,"[0,1]",,1,FALSE,,
7,"If applicable, does the company mention the existing regulations (local, state, federal, international) that have a direct impact on the company’s license to operate? (If no applicable regulations exist, give one point for this question)","[0,1]",,1,FALSE,,
8,"Has the company identified the environmental or social risks of the materials in the product/service? (e.g. toxicity, availability, recyclability, etc.) (If not applicable, give one point for this question because it is not a business risk)","[0,1]",,1,FALSE,,
9,"Has the company identified its largest sources of energy use and land use? (If not applicable, give one point for this question because there are no large sources necessary)","[0,1]",,1,FALSE,,
10,"Has the company categorized its waste stream by percentage? (If not applicable, give one point for this question because there is no waste stream necessary)","[0,1]",,1,FALSE,,
,,,,,,,
,3. Product/ Market Fit ,,,,,,
1,Startup has determined a specific target market and has articulated why they are a better option than other segments,"[0,1]",,1,FALSE,,
2,Startup has identified a need the target market has that the product fills.,"[0,1]",,1,FALSE,,
3,Startup has had live research-focused discussions with at least 4 members of its target audience.,"[0,1]",,1,FALSE,,
4,Startup has had live research-focused discussions with at least 6 members of its target audience.,"[0,1]",,1,FALSE,,
5,Startup has had live research-focused discussions with 10 or more members of its target audience.,"[0,1]",,1,FALSE,,
6,Startup updated or created customer segments based on research.,"[0,1]",,1,FALSE,,
7,Startup updated or created customer archetypes/personas based on research.,"[0,1]",,1,FALSE,,
8,Startup updated or changed its user experience based on research.,"[0,1]",,1,FALSE,,
9,"Based on research, did the startup clearly articulate something it learned that changed some aspect of its strategy or product experience?","[0,1]",,1,FALSE,,
10,"Did the startup create multiple customer segments based on demographic factors (ex: age, income, etc)","[0,1]",,1,FALSE,,
11,"Did the startup create multiple customer segments based on psychological factors (ex: comfort with technology, attitudes towards cost)","[0,1]",,1,FALSE,,
12,Did the startup identify important psychographic attributes associated with their target audience? (ex. Our target audience tends to be skeptical about tech companies),"[0,1]",,0,FALSE,,
13,Has the startup validated the size and representativeness of their target market psychographic segmentation through a statistically significant quantitative methodology?,"[0,1]",,1,FALSE,,
