A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
,,,,,,"(If N, no need to score outcomes)",Last Significant Presence Online Since 2024,"Do you think the company is still running? (Y/S/N/A) Y for Yes, N for No, A for Acquired, S for N/A, Unsure","Last Significant Presence Online (if alive, put 2022)",Link to Company Website,(Y/N) Website up and running?,Year with latest update made to the company website,"Type of update (eg. blog post, newsletter, article, video upload, copyright / terms & condition updates, etc)",(Y/N) Do they have Company LinkedIn Profile?,link to Company LinkedIn,(Y/N) Did they publish any post on Company LinkedIn Profile?,"If so, in what year?","(Y/N) Is the company listed as current position on one or more founders' LinkedIn profile ? (eg. Y for 20XX - present, N for 20XX - 20XX)","If not, until which year?",Founder' LinkedIn Profile Name	,link to his/her LinkedIn profile,"Year with Latest Twitter Update (incl. tweets, retweets, etc)",link,"Other (Youtube, Facebook, Instagram, etc)",Year with Latest Update,link,(Y/N) Any social media posts announcing/suggesting end of business?,"If so, in what year?",(Y/N) Do they have any online reviews?,"Name of the Website with Latest Review (eg. yelp, glassdoor, vault, etc)",Year,"(Y/N) Articles about the company and its founder (eg. Partnerships, capital raises, project announcements, etc.)",Year - latest news article,Link,(Y/N) Any news articles suggesting the end of business?,"If so, in what year?",link,(Y/N) Have you heard about this company going out of business?,,(Y/N) Do they have Regulatory filings showing proof of existence?,"If so, in what year?",(Y/N) Do they have regulatory filings suggesting withdrawal from an industry?,"If so, in what year?",(Y/N) Corporate documentation or DBAs renewed annually?,Year with Latest Corp Doc Renewal,(Y/N ) Are they currently registered to industry organizations?,Which Industry Organization?,(Y/N) Have they ever registered to industry organizations in the past?,Which Industry Organization?,The Vault?,News stories,(Y/N) Did they file for bankruptcy?,"If so, in what year?",Acquired?,(Y/N) Do they have Reg D filings?,"if so, in what year?",Type of Securities Offered,Company Revenue,total offering amount?,amount sold?,Crunchbase,PitchBook,Dun and Bradstreet,Other (Choose one data platform that has company valuation info,Crunchbase (Financials' section),PitchBook (Valuation&Funding' Section),Other,Crunchbase (Many don't disclose funding amount),Currency,Date of Funding,funding type,PitchBook (Manually sum up funding amount),Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Dun and Bradstreet,Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Other Website,Crunchbase,Currency,Date of Funding,PitchBook,Other Website,(Y/N) Any news articles/posts/websites about their capital raises? ,Link,"If yes, when?",How much? (include currency),(Y/N) Have you heard about this company raising money,(Y/N) Participated in any other Accelerator Programs?,Which accelerator program?,What year?,link,(Y/N) Company Website,Latest Job Posting Year,(Y/N) LinkedIn,Latest Job Posting Year,(Y/N) Other,On which platform? (eg.Angelist),Latest Job Posting Year,(Y/N) Any evidence that they have offices around the world?,link,(Y/N) news?,Year,Link,"(Y/N) on their company website? (blogs, etc)",Year,Link,(Y/N) Company social media?,Year,(Y/N) any other data source about company's environmental impact?,Link,,
Where to look up?,,,,,,,,,Google Search,Company website often has links to them,,,,,LinkedIn.com,,,,,"On company LinkedIn profile, look for founder/co-founder names under the 'People' section; or simply google search CEO's linkedin profile (Note that the application submitter aren't necessarily the company founder)",,,,,,,,,,,,,,,,,,,,https://www.sec.gov/edgar/search/,state websites etc,,,,,https://en.wikipedia.org/wiki/List_of_industry_trade_groups_in_the_United_States,,,,,,,,check state by state?,https://www.sec.gov/edgar/search/,,,,,,https://www.crunchbase.com/,https://pitchbook.com/profiles/,https://www.dnb.com/,"app.dealroom.co/dashboard, CBInsights, Angel.co, etc.",,,,Financials' section,What currency was the amount,When did they get the funding?,Valuation&Funding' Section,,Many don't disclose funding amount,,What currency was the amount,When did they get the funding?,,,,What currency was the amount,When did they get the funding?,,,,,What currency was the amount,When did they get the funding?,,,,What currency was the amount,When did they get the funding?,,,,What currency was the amount,When did they get the funding?,,,,What currency was the amount,When did they get the funding?,,,Some are in currencies other than USD,,,,,,,,,Angel.co and google search,,,N,,,,,,,,,,,,,,,,,
How to look up?,,,,,,,,,,,,,Google Search,,,,,,,,,,,,,,Search company/founder name,,,,Change your profile visibility setting to private mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Search company name,,,,,,,,,,,,,Manually sum up funding amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surge Hydro,David Markley,Energy Generation,2016,Northeast,,N,2019,N ,2019,-,N,,blog,N,-,N,-,N,-,-,-,-,-,-,-,-,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,https://my.pitchbook.com/profile/168445-18/company/profile#highlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
Proper Pipe Inc. ,Abel Jimenez,Chemicals & Advanced Materials,2016,Northeast,,N,2019,N ,2019,,N,,"pitchbook states ""out of business""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://my.pitchbook.com/profile/168445-90/company/profile#ai-summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
PV PURE,Mark Sears,Agriculture Water & Waste,2016,Northeast,,N,2018,N ,2018,,N,,pitchbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
GreenBlu,Howard Yuh,Chemicals and Advanced Materials,2016,Northeast,,Y,2024,Y,2026,,,,news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khushi,1/27/2026
kraftwerk Inc.,Martin Pentenrieder,Energy Distribution & Storage,2016,West,,Y,2024,Y,2026,https://www.kraftwerkgroup.com/,Y,,news,Y,http://www.linkedin.com/company/kraftwerk-inc.,Y,2025,Y,,Dr. Sascha Kuehn,https://www.linkedin.com/in/drkuehn/,,,,,,,,,,,,,,,,,,,Y,2022,N,,N,,N,,N,,,,,,N,,,N,,N,N,,https://my.pitchbook.com/profile/436599-19/company/profile#news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,Incubator,,,,,2020,,,,,,,Y,,,,www.kraftwerkgroup.com,,http://www.linkedin.com/company/kraftwerk-inc,,,,,,,,,,Y,,,,,,,Khushi,1/27/2026
Nelumbo,Liam Berryman,Chemicals & Advanced Materials,2016,Northwest ,,Y,2024,A,2025,https://www.icenein.com/,Y,,,Y,http://www.linkedin.com/company/nelumbo-inc,Y,2025,Y,,Liam Berryman,https://www.linkedin.com/in/liam-berryman-4963975b/,,,,,,N,,N,,,N,,,,,,,,N,,N/A,,N,,N,,N,,,,N,,Y,,,,,,,,https://my.pitchbook.com/profile/169616-53/company/profile#executives,,,,,,,,,,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.icenein.com,, http://www.linkedin.com/company/nelumbo-inc,,,,,,,,,,Y,,,,,,,Khushi,1/27/2026
Viva Green Homes,Kari Klaus,Green Buildings,2016,Northeast,,Y,2024,Y,2026,https://www.realtysage.com/,Y,,,Y,https://www.linkedin.com/company/realty-sage/,N,,Y,,Kari Klaus,https://www.linkedin.com/in/kariklaus/,,,,,,N,,N,,,N,,,N,,,N,,Y,2023,N/A,,N,,N,,,,,,N,,N,,,,,,,,https://my.pitchbook.com/profile/640771-21/company/profile#highlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,http://www.realtysage.com/,,https://www.linkedin.com/company/realty-sage/,,,,,,,,,,Y,,,,,,,Josh,5/1/2026
