cat_code,q_num,n_both,n_disagree,disagree_rate,mad,text,range,obj,archetype
BC,2,847,423,0.49940968122786306,0.6463990554899646,Does the company clearly identify its customer segments and customer attributes?,"[0, 0.25, 0.5, 0.75,1]",0.0,SUBJECTIVE_LIKERT
BC,1,847,372,0.43919716646989376,0.5938606847697757,How clearly is the value proposition understood?,"[0, 0.25, 0.5, 0.75,1]",0.0,SUBJECTIVE_LIKERT
BC,4,841,364,0.4328180737217598,0.5524375743162901,Are the large sections of the BMC clearly filled and articulated?,"[0, 0.25, 0.5, 0.75,1]",0.0,SUBJECTIVE_LIKERT
BC,5,722,263,0.36426592797783935,0.4629501385041551,Are the small sections of the BMC clearly filled and articulated?,"[0, 0.5, 1]",0.0,ORDINAL_MILESTONE
BC,3,846,306,0.3617021276595745,0.5975177304964538,Has the company interviewed at least 5 customers?,"[0, 0.25, 0.5, 0.75,1]",1.0,CUMULATIVE_LADDER
L,9,799,261,0.32665832290362956,0.5738423028785983,"According to the USPTO, strong, highly registerable marks are creative or unique names that set a brand apart. These include fanciful marks (made-up words like Pepsi), arbitrary marks (unrelated real words like Apple for computers), and suggestive marks (words hinting at a quality without stating it outright like Coppertone). Conversely, weak or unacceptable marks are hard to protect and usually cannot be federally registered. These include descriptive marks (merely detailing a feature or quality, like Creamy for yogurt) and generic terms (the common, everyday product name, like Bagel shop).
On average across every mark the Company plans to apply for, how descriptive are they on a scale of 1–5? Please rate them with 1 being a weak mark that concisely describes a feature or quality of the goods or services, and 5 being a strong mark that has no relationship to what the Company is selling.","[0, 0.25, 0.5, 0.75, 1]",1.0,SUBJECTIVE_LIKERT
T,7,821,254,0.3093788063337393,0.6199756394640682,"What is the breadth of the team's capabilities in supply chain?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
T,9,821,252,0.30694275274056027,0.6881851400730816,"What is the breadth of the team's capabilities in finance?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
IS,2,836,256,0.3062200956937799,0.38217703349282295,"Clearly maps applicable SDGs across the company’s value chain (Two or more: 1, One only: 0.5, None: 0).","[0, 0.5, 1]",1.0,ORDINAL_MILESTONE
T,11,821,244,0.2971985383678441,0.6516443361753959,"What is the breadth of the team's capabilities in sales/marketing?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
TP,7,831,245,0.29482551143200963,0.44584837545126355,"What is the product’s DOD/DOE/Isles Utilities Technology Readiness Level?  (If Levels 1-3: 0 pts, If Levels 4-6: 0.5 pts, If Levels 7-9: 1 pt)","[0, 0.5, 1]",1.0,ORDINAL_MILESTONE
T,13,821,242,0.29476248477466505,0.6358099878197321,"What is the breadth of the team's capabilities in systems/IT?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
T,19,816,238,0.2916666666666667,0.6850490196078431,"What percentage of team time is spent on the startup?
 - More than 90%: award 1 pt
 - 50% to 90%: award 0.5 pts
 - Less than 50%: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
T,8,821,235,0.2862362971985384,0.6406820950060901,"What is the breadth of the team's capabilities in operations?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
TP,5,835,238,0.28502994011976046,0.39880239520958083,"How many patents has the company filed, including subsequently granted patents? (If only 1 patent: 0 pts, If only 1-2 patents: 0.5 pts, If 3+ patents: 1 pt)","[0, 0.5, 1]",1.0,ORDINAL_MILESTONE
T,6,821,229,0.2789281364190012,0.6674786845310596,"What is the breadth of the team's capabilities in technical/engineering?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
T,12,821,228,0.2777101096224117,0.6321559074299634,"What is the breadth of the team's capabilities in general management?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
TP,12,832,225,0.2704326923076923,0.375,"(0: not started, 0.33: preliminary talks, 0.67: pending, 1: completed) What stage is the validation in?","[0, 0.33, 0.67, 1]",0.0,ORDINAL_MILESTONE
TP,6,836,226,0.2703349282296651,0.3660287081339713,"How many granted patents does the company have? (If only 1 patent: 0 pts, If only 1-2 patents: 0.5 pts, If 3+ patents: 1 pt)","[0, 0.5, 1]",1.0,ORDINAL_MILESTONE
M,1,834,224,0.2685851318944844,0.29790167865707434,"Has the startup identified the channels that its key customers frequently consume media, products, and services via? (eg. Facebook marketplace, Best Buy physical locations, word of mouth)","[0,1]",1.0,BINARY
M,2,833,221,0.2653061224489796,0.2680072028811525,Does the startup have a clear operational plan to distribute its product or service via distribution channels that customers frequently use?,"[0,1]",0.0,BINARY
T,17,816,216,0.2647058823529412,0.6642156862745098,"What is the education level of scientific advisors?
 - Ph.D: award 1 pt
 - Master's: award 0.5 pts
 - Bachelor's or below: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
T,14,820,213,0.2597560975609756,0.6073170731707317,"What is the breadth of the team's functional experience?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
T,10,821,212,0.2582216808769793,0.4762484774665043,"""What is the breadth of the team's capabilities in human resources?
 - Technical, engineering operations, sales + marketing, finance: award 1 pt
 - Technical, engineering operations: award 0.67 pts
 - Technical only: award 0.33 pts
 - None: award 0 pts""","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
M,3,833,214,0.25690276110444177,0.17411764705882352,"Has the startup identified ways to leverage their advocates, customers or community to spread their product or service?","[0,1]",1.0,BINARY
T,1,817,206,0.2521419828641371,0.7466340269277846,"Have any team members been involved in previous startups, and in what role?
- Founder or co-founder: award 1 pt.
- Around the 10th employee: award 0.67 pts.
- After the 10th employee: award 0.33 pts.
- No startup experience: award 0 pts.","[1, 0.67, 0.33, 0]",1.0,ORDINAL_MILESTONE
IP,6,834,207,0.24820143884892087,0.02913669064748202,"Is it a ""must-solve"" not merely ""nice-to-solve"" problem?","[0, 1]",0.0,BINARY
T,5,818,203,0.24816625916870416,0.6528117359413202,"What was the team member's role/seniority in the company's industry?
 - CEO, C-Suite: award 1 pt
 - Middle management: award 0.5 pts
 - Team member: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
T,4,821,203,0.24725943970767356,0.6711327649208283,"How many years of experience does the team have in the company's industry?
 - 15+ years: award 1 pt
 - 5 to 14 years: award 0.5 pts
 - Fewer than 5 years: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
T,2,820,200,0.24390243902439024,0.5560975609756098,"How many startups have the team members previously been involved with?
 - 3 or more startups: award 1 pt
 - 1–2 startups: award 0.5 pts
 - None: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
T,32,804,196,0.24378109452736318,0.4968905472636816,,,,
PMF,19,822,200,0.24330900243309003,0.11783941605839417,Have they identified who the purchasing decision-makers in the system are?,"[0,1]",1.0,BINARY
L,32,811,196,0.24167694204685575,0.24167694204685575,"Has the Company hired any people who worked for competitors?
- If no: award 1 pt.
- If yes: award 1 pt only if the Company took steps to ensure that it does not learn or use the competitor's trade secret information. Otherwise, award 0 pts.","[0, 1]",1.0,BINARY
M,6,832,201,0.24158653846153846,0.1547716346153846,Has the startup generated a clear strategy to on-board new users?,"[0,1]",0.0,BINARY
PMF,6,828,200,0.24154589371980675,0.10252415458937199,Startup updated or created customer segments based on research.,"[0,1]",1.0,BINARY
IP,21,831,200,0.24067388688327315,0.020120336943441636,Is there a balance between exciting opportunity vs. chance of success?,"[0, 1]",0.0,BINARY
T,16,819,197,0.24053724053724054,0.6178266178266179,"What is the education level of management executives?
 - MBA, JD, or other Master's degree: award 1 pt
 - Bachelor's degree: award 0.5 pts
 - Below bachelor's: award 0 pts","[1, 0.5, 0]",1.0,ORDINAL_MILESTONE
