question_id,orig_q_id,cat_code,category_name,data_type,verification_role,question_text,weight
BC_Q1a,BC_Q1,BC,1. Business Canvas,BINARY,AI,"Value proposition states specific, quantified performance improvement or cost savings metric",1.0
BC_Q1b,BC_Q1,BC,1. Business Canvas,BINARY,AI,Value proposition explicitly identifies incumbent technology or baseline alternative being replaced,1.0
BC_Q2a,BC_Q2,BC,1. Business Canvas,BINARY,AI,Specific target customer segment or institutional buyer category explicitly named,1.0
BC_Q2b,BC_Q2,BC,1. Business Canvas,BINARY,AI,"Defines at least one quantifiable customer attribute (size, fleet, expenditure, geography)",1.0
BC_Q2c,BC_Q2,BC,1. Business Canvas,BINARY,AI,Specific internal decision-maker title or economic buyer identified,1.0
BC_Q3_val,BC_Q3,BC,1. Business Canvas,INTEGER,AI,Total count of customer discovery interviews conducted,1.0
BC_Q3a,BC_Q3,BC,1. Business Canvas,BINARY,AI,States conducting discovery interviews with 5 or more prospective customers,1.0
BC_Q3b,BC_Q3,BC,1. Business Canvas,BINARY,AI,"Cites specific direct quotes, synthesis, or feedback derived from customer interviews",1.0
BC_Q4a,BC_Q4,BC,1. Business Canvas,BINARY,AI,"Value Propositions block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)",1.0
BC_Q4b,BC_Q4,BC,1. Business Canvas,BINARY,AI,"Customer Segments block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)",1.0
BC_Q4c,BC_Q4,BC,1. Business Canvas,BINARY,AI,"Revenue Streams block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)",1.0
BC_Q5a,BC_Q5,BC,1. Business Canvas,BINARY,AI,Key Partners block of the BMC contains substantive descriptive entries,1.0
BC_Q5b,BC_Q5,BC,1. Business Canvas,BINARY,AI,Key Activities block of the BMC contains substantive descriptive entries,1.0
BC_Q5c,BC_Q5,BC,1. Business Canvas,BINARY,AI,Key Resources block of the BMC contains substantive descriptive entries,1.0
BC_Q5d,BC_Q5,BC,1. Business Canvas,BINARY,AI,Cost Structure block of the BMC contains substantive descriptive entries,1.0
IS_Q1a,IS_Q1,IS,2. Impact/ Sustainability,BINARY,AI,Company purpose directly addresses at least 1 UN Sustainable Development Goal,1.0
IS_Q1b,IS_Q1,IS,2. Impact/ Sustainability,BINARY,AI,Company purpose directly addresses 2 or more UN SDGs,1.0
IS_Q10,IS_Q10,IS,2. Impact/ Sustainability,BINARY,AI,"Categorizes operational waste streams by percentage, OR confirms business model generates zero physical manufacturing waste",1.0
IS_Q2a,IS_Q2,IS,2. Impact/ Sustainability,BINARY,AI,Maps at least 1 applicable SDG across company value chain,1.0
IS_Q2b,IS_Q2,IS,2. Impact/ Sustainability,BINARY,AI,Maps 2 or more applicable SDGs across company value chain,1.0
IS_Q3,IS_Q3,IS,2. Impact/ Sustainability,BINARY,AI,"Addresses whether impact priority is mitigation, resilience/adaptation, or both",1.0
IS_Q4,IS_Q4,IS,2. Impact/ Sustainability,BINARY,AI,Quantifies environmental/efficiency advantage using numerical metrics against baseline,1.0
IS_Q5a,IS_Q5,IS,2. Impact/ Sustainability,BINARY,HUMAN,"Describes company culture, mission values, and social purpose",1.0
IS_Q5b,IS_Q5,IS,2. Impact/ Sustainability,BINARY,AI,Documents policy/plan for reinvestment or allocation of company profits,1.0
