category,cat_code,orig_q_id,new_q_id,type,verification_role,text
1. Business Canvas,BC,BC_Q1,BC_Q1a,BINARY,AI,"Value proposition states specific, quantified performance improvement or cost savings metric"
1. Business Canvas,BC,BC_Q1,BC_Q1b,BINARY,AI,Value proposition explicitly identifies incumbent technology or baseline alternative being replaced
1. Business Canvas,BC,BC_Q2,BC_Q2a,BINARY,AI,Specific target customer segment or institutional buyer category explicitly named
1. Business Canvas,BC,BC_Q2,BC_Q2b,BINARY,AI,"Defines at least one quantifiable customer attribute (size, fleet, expenditure, geography)"
1. Business Canvas,BC,BC_Q2,BC_Q2c,BINARY,AI,Specific internal decision-maker title or economic buyer identified
1. Business Canvas,BC,BC_Q3,BC_Q3_val,INTEGER,AI,Total count of customer discovery interviews conducted
1. Business Canvas,BC,BC_Q3,BC_Q3a,BINARY,AI,States conducting discovery interviews with 5 or more prospective customers
1. Business Canvas,BC,BC_Q3,BC_Q3b,BINARY,AI,"Cites specific direct quotes, synthesis, or feedback derived from customer interviews"
1. Business Canvas,BC,BC_Q4,BC_Q4a,BINARY,AI,"Value Propositions block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)"
1. Business Canvas,BC,BC_Q4,BC_Q4b,BINARY,AI,"Customer Segments block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)"
1. Business Canvas,BC,BC_Q4,BC_Q4c,BINARY,AI,"Revenue Streams block of the BMC contains substantive descriptive entries (bulleted items or complete sentences, not placeholders)"
1. Business Canvas,BC,BC_Q5,BC_Q5a,BINARY,AI,Key Partners block of the BMC contains substantive descriptive entries
1. Business Canvas,BC,BC_Q5,BC_Q5b,BINARY,AI,Key Activities block of the BMC contains substantive descriptive entries
1. Business Canvas,BC,BC_Q5,BC_Q5c,BINARY,AI,Key Resources block of the BMC contains substantive descriptive entries
1. Business Canvas,BC,BC_Q5,BC_Q5d,BINARY,AI,Cost Structure block of the BMC contains substantive descriptive entries
2. Impact/ Sustainability,IS,IS_Q1,IS_Q1a,BINARY,AI,Company purpose directly addresses at least 1 UN Sustainable Development Goal
2. Impact/ Sustainability,IS,IS_Q1,IS_Q1b,BINARY,AI,Company purpose directly addresses 2 or more UN SDGs
2. Impact/ Sustainability,IS,IS_Q10,IS_Q10,BINARY,AI,"Categorizes operational waste streams by percentage, OR confirms business model generates zero physical manufacturing waste"
2. Impact/ Sustainability,IS,IS_Q2,IS_Q2a,BINARY,AI,Maps at least 1 applicable SDG across company value chain
2. Impact/ Sustainability,IS,IS_Q2,IS_Q2b,BINARY,AI,Maps 2 or more applicable SDGs across company value chain
2. Impact/ Sustainability,IS,IS_Q3,IS_Q3,BINARY,AI,"Addresses whether impact priority is mitigation, resilience/adaptation, or both"
2. Impact/ Sustainability,IS,IS_Q4,IS_Q4,BINARY,AI,Quantifies environmental/efficiency advantage using numerical metrics against baseline
2. Impact/ Sustainability,IS,IS_Q5,IS_Q5a,BINARY,HUMAN,"Describes company culture, mission values, and social purpose"
2. Impact/ Sustainability,IS,IS_Q5,IS_Q5b,BINARY,AI,Documents policy/plan for reinvestment or allocation of company profits
2. Impact/ Sustainability,IS,IS_Q6,IS_Q6,BINARY,AI,Lists formal certification by environmental or sustainability organizations
2. Impact/ Sustainability,IS,IS_Q7,IS_Q7,BINARY,AI,Identifies applicable environmental/operating regulations (or confirms none exist)
2. Impact/ Sustainability,IS,IS_Q8,IS_Q8,BINARY,AI,"Identifies environmental or social risks of physical materials, OR explicitly documents that business model is asset-light/software with no physical material risk"
2. Impact/ Sustainability,IS,IS_Q9,IS_Q9a,BINARY,AI,Identifies largest sources of energy consumption in operations
2. Impact/ Sustainability,IS,IS_Q9,IS_Q9b,BINARY,AI,"Identifies operational land use footprint, OR confirms operations require no dedicated land footprint"
3. Product/ Market Fit,PMF,PMF_Q1,PMF_Q1a,BINARY,AI,Startup has determined and named a specific target market
3. Product/ Market Fit,PMF,PMF_Q1,PMF_Q1b,BINARY,HUMAN,Startup articulates why the chosen target market segment is superior to alternative segments for its initial beachhead entry
3. Product/ Market Fit,PMF,PMF_Q10,PMF_Q10,BINARY,AI,"Did the startup create multiple customer segments based on demographic factors (ex: age, income, etc)"
3. Product/ Market Fit,PMF,PMF_Q11,PMF_Q11,BINARY,AI,"Did the startup create multiple customer segments based on psychological factors (ex: comfort with technology, attitudes towards cost)"
3. Product/ Market Fit,PMF,PMF_Q12,PMF_Q12,BINARY,HUMAN,Did the startup identify important psychographic attributes associated with their target audience? (ex. Our target audience tends to be skeptical about tech companies)
3. Product/ Market Fit,PMF,PMF_Q13,PMF_Q13,BINARY,AI,Has the startup validated the size and representativeness of their target market psychographic segmentation through a statistically significant quantitative methodology?
3. Product/ Market Fit,PMF,PMF_Q14,PMF_Q14,BINARY,AI,Startup has a research-validated range potential customers would be willing to pay for their product or service.
3. Product/ Market Fit,PMF,PMF_Q15,PMF_Q15,BINARY,AI,Start up has implemented feedback mechanisms into their service or product experience to gather ongoing feedback from individuals who are using or who will use their product/service.
3. Product/ Market Fit,PMF,PMF_Q16,PMF_Q16,BINARY,AI,Startups has embedded Net Promoter Score (NPS) into ongoing feedback.
3. Product/ Market Fit,PMF,PMF_Q17,PMF_Q17,BINARY,AI,Has the startup articulated all of the stakeholders in the market they are addressing?
3. Product/ Market Fit,PMF,PMF_Q18,PMF_Q18,BINARY,HUMAN,Has the start up identified and addressed the needs of all key stakeholders?
3. Product/ Market Fit,PMF,PMF_Q19,PMF_Q19,BINARY,AI,Have they identified who the purchasing decision-makers in the system are?
3. Product/ Market Fit,PMF,PMF_Q2,PMF_Q2,BINARY,AI,Startup has identified a need the target market has that the product fills.
3. Product/ Market Fit,PMF,PMF_Q20,PMF_Q20,BINARY,AI,Startup has someone dedicated to tech tools and ops.
3. Product/ Market Fit,PMF,PMF_Q21,PMF_Q21,BINARY,AI,"Startup has dedicated resources, or individual on team, to user experience."
3. Product/ Market Fit,PMF,PMF_Q22,PMF_Q22,BINARY,AI,Startup has worked with a user/customer research professional.
3. Product/ Market Fit,PMF,PMF_Q23,PMF_Q23,BINARY,HUMAN,Startup has a logo that is discernible when smaller than ½ an inch.
3. Product/ Market Fit,PMF,PMF_Q24,PMF_Q24,BINARY,HUMAN,Startup has a logo that is discernible when billboard size.
3. Product/ Market Fit,PMF,PMF_Q25,PMF_Q25,BINARY,HUMAN,Startup has a logo that is discernible in greyscale
3. Product/ Market Fit,PMF,PMF_Q26,PMF_Q26,BINARY,HUMAN,"Startup has a cohesive visual design system that is consistent across, e.g., email, website, and other assets."
3. Product/ Market Fit,PMF,PMF_Q27,PMF_Q27,BINARY,AI,"Startup has a branding professional, or has worked with one."
3. Product/ Market Fit,PMF,PMF_Q28,PMF_Q28,BINARY,HUMAN,Startup has a brand strategy based in customer insights.
3. Product/ Market Fit,PMF,PMF_Q29,PMF_Q29,BINARY,AI,Has the startup completed a competitive analysis?
3. Product/ Market Fit,PMF,PMF_Q3,PMF_Q3,BINARY,AI,Startup has had live research-focused discussions with at least 4 members of its target audience.
3. Product/ Market Fit,PMF,PMF_Q30,PMF_Q30,BINARY,AI,Has the startup analyzed the reasons why customers use the competition?
3. Product/ Market Fit,PMF,PMF_Q31,PMF_Q31,BINARY,HUMAN,Has the startup identified unique value that it can deliver to customers?
3. Product/ Market Fit,PMF,PMF_Q32,PMF_Q32,BINARY,AI,Has the startup identified customer experience pain-points in at least 1 major competitor's product?
3. Product/ Market Fit,PMF,PMF_Q33,PMF_Q33,BINARY,AI,Has the startup identified customer experience pain-points in at least 3 major competitor's product?
3. Product/ Market Fit,PMF,PMF_Q34,PMF_Q34,BINARY,HUMAN,Has the startup validated customer experience pain-points through user research?
